Date,Open,High,Low,Close,Volume
2015-01-01,2069.87,2096.25,2040.82,2067.17,3029079132
2015-01-02,2067.13,2071.3,2062.08,2066.24,4282980078
2015-01-05,2061.69,2091.51,2047.91,2077.62,4572072971
2015-01-06,2086.69,2112.55,2077.15,2102.93,6941348234
2015-01-07,2103.46,2120.06,2083.89,2100.46,5657488126
2015-01-08,2095.03,2106.59,2086.45,2097.99,5645435746
2015-01-09,2095.21,2139.28,2080.58,2124.45,4930481665
2015-01-12,2127.41,2144.43,2121.1,2138.09,4901051509
2015-01-13,2148.99,2155.68,2125.14,2131.78,5539868753
2015-01-14,2137.8,2145.9,2133.73,2141.82,3170658737
2015-01-15,2153.44,2162.01,2127.1,2135.6,3755034461
2015-01-16,2131.42,2149.49,2111.31,2129.36,2893260243
2015-01-19,2126.99,2151.28,2110.3,2134.53,2574115097
2015-01-20,2140.31,2140.64,2104.8,2105.13,4513931862
2015-01-21,2108.36,2140.39,2047.51,2079.1,7734708363
2015-01-22,2084.43,2098.14,2057.88,2071.51,2983317272
2015-01-23,2072.58,2091.03,2038.62,2056.94,5590682204
2015-01-26,2051.41,2087.31,2027.3,2063.06,4808666083
2015-01-27,2065.92,2085.51,2030.72,2050.16,3050393096
2015-01-28,2042.58,2059.91,2012.39,2029.6,6212770422
2015-01-29,2025.36,2066.28,2012.69,2053.43,6600534625
2015-01-30,2050.11,2056.49,2044.77,2051.15,2729943189
2015-02-02,2053.3,2093.72,2013.01,2053.42,2309735851
2015-02-03,2051.8,2053.75,2030.7,2032.63,6473922510
2015-02-04,2030.63,2036.76,2019.37,2025.49,5126581889
2015-02-05,2027.41,2035.19,2020.62,2028.4,4317933842
2015-02-06,2033.0,2064.22,1981.13,2012.02,5910527230
2015-02-09,2010.55,2039.47,1990.11,2018.95,4053090714
2015-02-10,2020.97,2023.69,2008.29,2011.0,6437930236
2015-02-11,2003.08,2029.48,1981.41,2007.76,4557602548
2015-02-12,2010.09,2036.81,1973.27,1999.84,5814927202
2015-02-13,2005.98,2070.08,1965.62,2029.25,6524696504
2015-02-16,2030.13,2051.47,2008.91,2030.25,3612121072
2015-02-17,2039.77,2046.94,2008.2,2015.28,3751126666
2015-02-18,2018.3,2060.15,1987.37,2029.06,3083696877
2015-02-19,2016.27,2023.69,2004.22,2011.61,6045169349
2015-02-20,2008.04,2033.84,1990.26,2015.99,4026992726
2015-02-23,2012.93,2052.27,1948.69,1987.53,4358483343
2015-02-24,1999.23,2028.86,1939.68,1968.85,5158574473
2015-02-25,1976.77,1996.77,1953.0,1972.95,3092903283
2015-02-26,1980.24,1994.81,1970.63,1985.18,7594589103
2015-02-27,1979.94,2000.13,1968.79,1988.94,6953249573
2015-03-02,1986.94,1998.94,1976.39,1988.38,3932663625
2015-03-03,1993.48,2024.46,1954.19,1985.04,4297019573
2015-03-04,1985.3,1994.5,1955.05,1964.15,6327229672
2015-03-05,1962.4,2012.04,1905.21,1954.65,4674559914
2015-03-06,1956.92,1979.44,1926.58,1949.02,3766900209
2015-03-09,1958.22,2000.33,1923.84,1965.82,4350182031
2015-03-10,1965.39,1975.09,1962.42,1972.11,3544412800
2015-03-11,1967.63,1971.46,1943.36,1947.16,4080428964
2015-03-12,1950.84,1965.26,1938.69,1953.1,3168278494
2015-03-13,1949.4,1966.85,1931.14,1948.58,4213405364
2015-03-16,1948.39,1964.37,1923.88,1939.79,4918560690
2015-03-17,1938.65,1960.01,1928.64,1949.94,4149025828
2015-03-18,1948.91,1981.05,1934.36,1966.37,3121900926
2015-03-19,1964.69,1991.17,1955.04,1981.44,4478381960
2015-03-20,1981.07,1985.86,1965.32,1970.08,5203051873
2015-03-23,1966.24,1983.85,1949.05,1966.65,2652028841
2015-03-24,1963.78,1993.31,1943.31,1972.76,3637362978
2015-03-25,1965.09,2003.85,1949.95,1988.54,4268724265
2015-03-26,1992.09,1995.71,1978.93,1982.53,3409174886
2015-03-27,1977.02,1989.11,1968.85,1980.93,3607253404
2015-03-30,1984.34,2001.17,1948.92,1965.6,2843825861
2015-03-31,1967.38,1974.45,1942.06,1949.07,5260531059
2015-04-01,1951.11,2015.09,1898.57,1962.24,3462102293
2015-04-02,1951.79,1985.54,1949.92,1983.64,5269338475
2015-04-03,1989.09,2005.66,1967.22,1983.75,2975589858
2015-04-06,1979.96,2002.38,1977.65,2000.04,8309025944
2015-04-07,2011.04,2017.5,2000.26,2006.71,5212039720
2015-04-08,2008.93,2018.61,1988.51,1998.14,4782105232
2015-04-09,1996.47,2043.44,1957.98,2004.8,5260337754
2015-04-10,1996.35,2030.44,1995.37,2029.45,5550841573
2015-04-13,2037.04,2071.75,1995.51,2030.11,3491224543
2015-04-14,2027.88,2075.04,2008.58,2055.48,3403254218
2015-04-15,2065.12,2084.21,1997.74,2016.38,6319992377
2015-04-16,2014.57,2035.1,2009.66,2030.15,8306022583
2015-04-17,2043.67,2076.9,1999.65,2032.7,3546024279
2015-04-20,2023.45,2035.32,2017.47,2029.32,5905069125
2015-04-21,2030.64,2055.66,2006.92,2031.94,2680558082
2015-04-22,2026.83,2038.77,1991.03,2002.83,5020743924
2015-04-23,1999.53,2011.48,1988.75,2000.69,4733473111
2015-04-24,2002.02,2029.47,1979.9,2007.3,5874651184
2015-04-27,2002.97,2041.48,1992.69,2031.06,5187767397
2015-04-28,2032.24,2056.21,2000.44,2024.32,3480185768
2015-04-29,2017.62,2027.39,2003.44,2013.18,5478108595
2015-04-30,2011.32,2019.54,1998.56,2006.76,3156638202
2015-05-01,2009.98,2039.82,1992.15,2021.89,6961932974
2015-05-04,2024.67,2041.06,2011.77,2028.13,2159560554
2015-05-05,2027.94,2039.8,2009.41,2021.23,3118219456
2015-05-06,2017.18,2049.31,1998.29,2030.29,4675554941
2015-05-07,2016.66,2036.8,2012.88,2032.99,1975638886
2015-05-08,2035.79,2061.59,2023.43,2049.15,2142628160
2015-05-11,2045.92,2056.14,2029.33,2039.52,6558830186
2015-05-12,2041.86,2049.73,2027.85,2035.69,3995051409
2015-05-13,2040.38,2083.85,1987.6,2030.87,4175849093
2015-05-14,2054.79,2065.24,1999.51,2009.72,2853283168
2015-05-15,2007.99,2050.19,1973.36,2015.43,4355619058
2015-05-18,2012.86,2021.53,2011.94,2020.61,3328899356
2015-05-19,2011.41,2028.55,2004.78,2021.89,4522836861
2015-05-20,2015.04,2027.92,2006.65,2019.51,3238121042
2015-05-21,2016.27,2041.61,1974.07,1999.21,5866296254
2015-05-22,2003.75,2018.4,1979.47,1994.05,4854706716
2015-05-25,1993.0,2029.84,1953.28,1990.07,4704230930
2015-05-26,1997.81,1999.77,1977.28,1979.22,3592538388
2015-05-27,1978.06,1992.8,1963.25,1977.98,3540358884
2015-05-28,1979.48,1987.04,1977.66,1985.22,3996852381
2015-05-29,1994.61,2019.25,1990.33,2014.92,8197408847
2015-06-01,2012.17,2036.33,1994.68,2018.78,2937110384
2015-06-02,2024.09,2043.43,2004.59,2023.92,6136276769
2015-06-03,2022.53,2036.21,2010.31,2023.99,2143715194
2015-06-04,2030.04,2038.01,1988.2,1996.03,5159149072
2015-06-05,1994.89,2009.61,1982.11,1996.82,3933495064
2015-06-08,1997.33,2021.86,1974.41,1998.92,1501727199
2015-06-09,1989.14,2041.51,1985.42,2037.7,9854257858
2015-06-10,2040.55,2056.42,2020.12,2035.95,5761005572
2015-06-11,2046.62,2066.04,2022.44,2041.81,5294775666
2015-06-12,2048.77,2053.61,2037.66,2042.49,2553283152
2015-06-15,2038.76,2055.57,2009.03,2025.73,4216672256
2015-06-16,2033.17,2066.13,2011.68,2044.53,4733725324
2015-06-17,2041.03,2064.66,2033.83,2057.4,2663475714
2015-06-18,2045.6,2076.57,2040.08,2070.98,4555825746
2015-06-19,2083.32,2111.83,2029.85,2058.01,6044887561
2015-06-22,2065.81,2083.39,2063.63,2081.19,4235636817
2015-06-23,2082.44,2093.76,2049.28,2060.48,5683076716
2015-06-24,2065.01,2097.22,2038.73,2070.87,4776849635
2015-06-25,2064.91,2141.56,2030.74,2106.7,6266867947
2015-06-26,2099.56,2101.52,2090.28,2092.23,9702480820
2015-06-29,2096.01,2127.79,2052.92,2084.53,4235527046
2015-06-30,2078.58,2091.78,2074.17,2087.35,3823850161
2015-07-01,2079.57,2086.02,2074.21,2080.66,4490195052
2015-07-02,2068.75,2071.96,2054.44,2057.63,4207970145
2015-07-03,2069.29,2077.84,2051.41,2059.93,4366276056
2015-07-06,2062.93,2090.48,2017.36,2044.67,3018197845
2015-07-07,2041.78,2075.45,2019.67,2053.22,4113481086
2015-07-08,2045.29,2072.41,2013.17,2040.22,3032998013
2015-07-09,2046.57,2077.54,2034.63,2065.49,3584627047
2015-07-10,2062.69,2121.11,1996.33,2054.52,5229777254
2015-07-13,2051.66,2076.29,2026.13,2050.74,3378104123
2015-07-14,2039.24,2088.44,2015.71,2064.62,4165417047
2015-07-15,2067.4,2071.34,2042.82,2046.72,4311591384
2015-07-16,2031.44,2052.17,2030.74,2051.46,3205283818
2015-07-17,2045.42,2082.47,2036.14,2073.07,5428569058
2015-07-20,2070.94,2080.19,2040.09,2049.25,5812086838
2015-07-21,2047.98,2073.1,2028.26,2053.33,4621531044
2015-07-22,2049.72,2061.83,2046.5,2058.59,4222653537
2015-07-23,2045.93,2086.84,2031.31,2072.03,6567257055
2015-07-24,2074.67,2081.65,2047.06,2053.97,7206795849
2015-07-27,2049.6,2077.71,2006.87,2034.78,4716187042
2015-07-28,2045.37,2061.4,2028.02,2044.04,3321225639
2015-07-29,2045.29,2061.24,2033.93,2049.85,2786842807
2015-07-30,2051.8,2063.09,2043.69,2054.96,3561526913
2015-07-31,2051.7,2063.5,2049.78,2061.58,2579127581
2015-08-03,2072.43,2079.09,2045.63,2052.23,4319199884
2015-08-04,2056.49,2061.69,2051.86,2057.06,2672725204
2015-08-05,2058.31,2097.97,2023.26,2062.85,6513100673
2015-08-06,2074.1,2089.3,2037.91,2052.96,5477301499
2015-08-07,2054.4,2094.88,2043.04,2083.36,5636074487
2015-08-10,2084.24,2117.2,2059.21,2092.08,2345068917
2015-08-11,2090.91,2114.27,2051.38,2074.56,5456336343
2015-08-12,2082.14,2087.3,2080.97,2086.12,2490946883
2015-08-13,2074.74,2077.72,2069.07,2072.04,5884523124
2015-08-14,2074.65,2087.62,2072.69,2085.65,3584821424
2015-08-17,2092.16,2132.18,2065.4,2105.25,6119633943
2015-08-18,2108.91,2111.64,2090.76,2093.47,3625124748
2015-08-19,2103.83,2128.08,2085.83,2110.03,6726400308
2015-08-20,2112.32,2133.34,2096.9,2117.88,2815725535
2015-08-21,2120.75,2144.56,2108.61,2132.35,2677381968
2015-08-24,2130.54,2189.58,2105.79,2164.44,5585774982
2015-08-25,2166.96,2193.17,2135.57,2161.71,4011988727
2015-08-26,2156.81,2161.0,2146.53,2150.71,6017122470
2015-08-27,2147.59,2183.14,2102.18,2137.57,3805399694
2015-08-28,2135.27,2145.76,2115.25,2125.69,4291765207
2015-08-31,2113.52,2141.44,2097.88,2125.72,5201118359
2015-09-01,2123.09,2134.03,2121.55,2132.48,3948342710
2015-09-02,2121.4,2139.02,2120.6,2138.21,6217055957
2015-09-03,2141.06,2153.8,2140.17,2152.91,6250695616
2015-09-04,2155.96,2177.98,2132.4,2154.4,3341965570
2015-09-07,2140.65,2197.95,2122.53,2179.5,5365121194
2015-09-08,2182.33,2195.48,2163.32,2176.44,4313226451
2015-09-09,2171.79,2238.71,2156.42,2222.98,6967414159
2015-09-10,2228.59,2254.88,2208.61,2234.85,3967174843
2015-09-11,2232.33,2297.23,2157.15,2221.73,3317139332
2015-09-14,2213.49,2249.59,2169.16,2205.13,4973070023
2015-09-15,2207.21,2243.93,2177.88,2214.51,3536658297
2015-09-16,2211.46,2222.17,2201.38,2212.09,2997079637
2015-09-17,2200.46,2251.07,2175.06,2225.38,4046549263
2015-09-18,2224.74,2238.22,2221.22,2234.69,3733923204
2015-09-21,2238.77,2259.94,2213.65,2234.79,2362820568
2015-09-22,2228.07,2245.36,2204.61,2221.85,3603494521
2015-09-23,2218.51,2251.05,2165.62,2197.86,7235166717
2015-09-24,2204.31,2215.68,2180.46,2191.76,4662541587
2015-09-25,2189.58,2231.67,2165.42,2207.31,3748516955
2015-09-28,2199.38,2241.63,2170.12,2212.2,5082718604
2015-09-29,2224.34,2244.2,2173.19,2192.77,4460460321
2015-09-30,2207.78,2223.51,2181.3,2196.95,3184909981
2015-10-01,2184.56,2238.51,2151.03,2204.67,5094612191
2015-10-02,2202.21,2243.68,2150.03,2191.29,5205038543
2015-10-05,2194.09,2199.21,2190.03,2195.15,4070095877
2015-10-06,2188.88,2225.52,2160.88,2197.42,3004562528
2015-10-07,2202.89,2219.91,2162.97,2179.81,6429865943
2015-10-08,2187.55,2197.42,2177.15,2187.02,2863560064
2015-10-09,2197.01,2234.26,2160.38,2197.62,5419187526
2015-10-12,2186.7,2256.51,2147.73,2217.0,4303626837
2015-10-13,2221.8,2252.51,2205.46,2236.06,3647488236
