epoch,train_loss,val_loss,learning_rate,alpha_mean,alpha_std
1,14730597.104492188,62942237.86666667,0.0001,0.4384226,0.026305538
2,14726460.646484375,62932754.93333333,0.0001,0.41989625,0.0136898905
3,14725438.645507812,62931903.2,0.0001,0.42560485,0.0107949935
4,14725044.84765625,62931634.13333333,0.0001,0.43061146,0.008931941
5,14724679.303710938,62932449.333333336,0.0001,0.43697387,0.006803982
6,14724441.622070312,62931696.266666666,0.0001,0.44357145,0.005321387
7,14724285.615234375,62931385.86666667,0.0001,0.44902006,0.004341588
8,14724187.038085938,62931315.2,5e-05,0.45409554,0.0029757882
9,14724140.475585938,62931109.6,5e-05,0.45730135,0.002337417
10,14724127.340820312,62930961.333333336,5e-05,0.45905378,0.0019863446
11,14724118.62890625,62930928.266666666,5e-05,0.46027547,0.001774215
12,14724113.989257812,62930944.266666666,5e-05,0.46105736,0.001649728
13,14724099.051757812,62930972.53333333,5e-05,0.46179512,0.0014010506
14,14724092.227539062,62930943.46666667,2.5e-05,0.4626935,0.0012753959
15,14724090.958984375,62930942.4,2.5e-05,0.46326172,0.0011456034
16,14724091.138671875,62930933.86666667,2.5e-05,0.463612,0.0011098792
17,14724088.23046875,62930937.86666667,2.5e-05,0.46366906,0.0011013777
18,14724090.0625,62930929.06666667,2.5e-05,0.463985,0.0010415631
19,14724085.865234375,62930922.4,2.5e-05,0.46418646,0.000996008
20,14724084.581054688,62930933.6,1.25e-05,0.4643143,0.00097437634
21,14724083.912109375,62930927.46666667,1.25e-05,0.464632,0.0009027371
22,14724082.149414062,62930931.46666667,1.25e-05,0.46464184,0.0009373993
23,14724083.26171875,62930924.266666666,1.25e-05,0.46480104,0.0008547353
24,14724082.412109375,62930920.266666666,1.25e-05,0.46484122,0.00087248615
25,14724080.4140625,62930916.53333333,1.25e-05,0.4648457,0.0008520114
26,14724081.41796875,62930920.0,6.25e-06,0.46494576,0.00083656725
27,14724079.8515625,62930924.0,6.25e-06,0.46495366,0.0008364182
28,14724080.3203125,62930929.6,6.25e-06,0.4650551,0.00080712617
29,14724079.823242188,62930922.13333333,6.25e-06,0.465093,0.0008086192
30,14724079.8515625,62930922.666666664,6.25e-06,0.4651083,0.00081724115
31,14724079.833007812,62930921.6,6.25e-06,0.46514437,0.00080322556
32,14724080.31640625,62930919.2,3.125e-06,0.46521336,0.00081178884
33,14724079.125976562,62930920.8,3.125e-06,0.46521285,0.00081974204
34,14724079.66796875,62930917.86666667,3.125e-06,0.46526414,0.0007952334
35,14724079.24609375,62930921.86666667,3.125e-06,0.4652162,0.0008025306
36,14724079.831054688,62930922.4,3.125e-06,0.46529835,0.0007815565
37,14724078.525390625,62930921.06666667,3.125e-06,0.46526575,0.0007700161
38,14724078.125976562,62930921.333333336,1.5625e-06,0.46529633,0.00075939036
39,14724078.784179688,62930922.4,1.5625e-06,0.4653188,0.00078086474
40,14724078.000976562,62930923.46666667,1.5625e-06,0.46530098,0.00074914563
